sitio_id,nombre,siglas,ruc,ciudad,nombre_ubicacion,contacto,direccion,email,telefono,celular,estado,color_fondo,transparencia,longitud,latitud,ip,puerto,fecha,usuario_modif,bienvenida,formulario,router
17,PA CORTARSE LAS VENAS,PCV,0,Guayaquil,,AWA,Av. Samborondón Samborondón 092301,,997834256,997834256,0,,0,-2.144514,-79.862559,181.39.238.91,,2015-12-16 17:00:31,charvel.chedraui,0,0,
18,OPERA,OPERA,0,Quito,,AWA,"Centro Comercial Paseo San Francisco, en la Av. Interoceánica",fmatamoros123@gmail.com,959474408,959474408,0,,0,-0.199037,-78.435933,0.0.0.0,,2015-07-24 18:54:37,charvel.chedraui,0,0,
19,BANCO GUAYAQUIL,BANCO GUAY,0,Guayaquil,,test,ttttt,ttt,test,,0,,0,-2.168677,-79.916769,1.1.1.2,,2015-06-01 13:30:41,fmatamoros,0,0,
20,HILTON COLON SALON,HILTON COL,0,Guayaquil,,Banco Guayaquil,Av. Francisco de Orellana,fmatamoros123@gmail.com,0,0,0,,0,-2.1589935,-79.8984219,186.42.165.210,,2015-06-01 13:30:09,fmatamoros,0,0,
21,HILTON COLON CONFERENCIA,HILTON COL,0,Guayaquil,,Fausto,Hotel Hilton Colon,fmatamoros123@gmail.com,222222222,0,0,,0,-2.1589935,-79.8984219,186.42.165.211,,2015-06-10 11:37:09,fmatamoros,0,0,
22,EL MANANTIAL,EL MANANTI,0,Guayaquil,,Fabricio,ND,fmatamoros123@gmail.com,121321,0,0,,0,-2.1589148,-79.9072294,186.3.138.215,,2016-03-14 10:14:58,fmatamoros,0,0,
23,ILANES 919,ILANES 919,0,Guayaquil,,EMILIO,ND,fmatamoros123@gmail.com,1212,0,0,,0,-2.1589148,-79.9072294,186.3.166.53,,2016-01-20 17:37:37,fmatamoros,0,0,
24,BALSAMOS 314,BALSAMOS 3,0,Guayaquil,,EMILIO,nd,fmatamoros123@gmail.com,1212,0,0,,0,-2.1589148,-79.9072294,200.124.245.2,,2016-01-20 17:37:45,fmatamoros,0,0,
25,SAMBORONDON PLAZA,SAMBORONDO,0,Guayaquil,,EMILIO,ND,fmatamoros123@gmail.com,9984824221,,0,,0,-2.140406,-79.866376,190.214.251.234,,2016-01-20 17:38:23,fmatamoros,0,0,
26,Salón A,Salón A,0,Guayaquil-CC,Centro de Convenciones,Fabrici,Avenida de las americas,fmatamoros123@gmail.com,0,0,0,,0,-2.1591783,-79.8916206,186.101.22.162,8088,2016-09-15 17:13:58,fmatamoros,0,0,
27,Salón B,Salón B,0,Guayaquil-CC,Centro de Convenciones,Fabricio,Avenida de las Americas,fmatamoros123@gmail.com,2209711,0,0,,0,-2.1591783,-79.8916206,186.101.22.163,8088,2016-09-15 17:14:09,fmatamoros,0,0,
28,Salón C,Salón C,0,Guayaquil-CC,Centro de Convenciones,Fabricio,AV. Americas,fmatamoros123@gmail.com,2209711,0,0,,0,-2.1591783,-79.8916206,186.101.22.164,8088,2016-09-15 17:14:18,fmatamoros,0,1,
29,Salón Eloy Alfaro,Salón Eloy,0,Guayaquil-CC,,Fabricio,Av.,fmatamoros123@gmail.com,2209711,0,0,,0,-2.1591783,-79.8916206,186.101.22.165,8088,2016-09-15 17:14:31,fmatamoros,0,0,
30,Salón Vicente Rocafuerte,Salón Vice,0,Guayaquil-CC,,Fabricio,Av.,fmatamoros123@gmail.com,2209711,0,0,,0,-2.1591783,-79.8916206,186.101.22.166,8088,2016-09-15 17:14:39,fmatamoros,0,0,
31,Salón Baquerizo M.,Salón Baqu,0,Guayaquil-CC,,Fabricio,Av.,fmatamoros123@gmail.com,2209711,0,0,,0,-2.1591783,-79.8916206,186.101.22.167,8088,2016-09-15 17:14:49,fmatamoros,0,0,
32,Salón C. Yerovi.,Salón C. Y,0,Guayaquil-CC,,Fabricio,Av.,fmatamoros123@gmail.com,2209711,0,0,,0,-2.1591783,-79.8916206,186.101.22.168,8088,2016-09-15 17:15:15,fmatamoros,0,0,
33,Hall de Presidentes,Hall de Pr,0,Guayaquil-CC,,Fabricio,Av.,fmatamoros123@gmail.com,2209711,0,0,,0,-2.1591783,-79.8916206,186.101.22.169,8088,2016-09-15 17:15:33,fmatamoros,0,0,
34,Exteriores,Exteriores,0,Guayaquil-CC,,Fabricio,Av.,fmatamoros123@gmail.com,2209711,0,0,,0,-2.1591783,-79.8916206,186.101.22.170,8088,2016-09-15 17:18:26,fmatamoros,0,0,
41,Plaza Triangulo,Plaza Tria,0,Guayaquil,,Fabricio,Plaza Triangulo Urdesa,fmatamoros123@gmail.com,2209711,0,0,,0,-2.1725279,-79.9094126,200.124.245.2,,2016-01-20 17:37:54,fmatamoros,0,0,
42,PIOLA - MALL DEL SOL,PIOLA - MA,0,Guayaquil,,Charvel Chedraui,MALL DEL SOL,fmatamoros123@gmail.com,999999999,0,0,,0,-2.1552748,-79.8947843,200.124.241.228,,2016-09-15 17:13:45,fmatamoros,0,0,
44,REINVENTION,REINVENTIO,0,Guayaquil,,NC,ND,fmatamoros123@gmail.com,0,0,0,,0,-2.1418309,-79.8694039,181.211.144.202,,2015-11-05 17:22:46,fmatamoros,0,0,
45,Telecu Pruebas,Telecu Pru,0,Guayaquil,,Emilio,ND,fmatamoros123@gmail.com,0,0,0,,0,-2.168677,-79.916769,181.211.166.148,,2016-01-20 17:38:15,fmatamoros,0,0,
46,Piola Village Plaza,Piola Vill,0,Guayaquil,,Emilio,Samborondon,fmatamoros123@gmail.com,0,0,0,,0,-2.140406,-79.866376,190.214.8.74,,2016-09-15 17:23:30,fmatamoros,0,0,
47,SITIO PRUEBAS,SITIO PRUE,0,Guayaquil,,fabricio,nd,fmatamoros123@gmail.com,998482422,,1,,0,-2.168677,-79.916769,internetgratis.redfe,,2016-10-05 18:34:43,fmatamoros,1,1,Mikrotik
48,AEROPUERTO,AEROPUERTO,0,Guayaquil,,Charvel,Av. de las Americas,fmatamoros123@gmail.com,0,0,1,,0,-2.1487407,-79.8847662,181.188.196.146,8088,2016-09-19 13:28:06,charvel.chedraui,1,1,Mikrotik
49,TUENTI,TUENTI,0,Guayaquil,,EMILIO,Universidad Estatal,fmatamoros123@gmail.com,0,,1,,0,-2.181973,-79.9005189,181.211.166.150,,2016-09-19 13:28:16,fmatamoros,0,0,Mikrotik
50,Tuenti pruebas,Tuenti pru,0,Guayaquil,,Gabriel Gomez,nd,fmatamoros123@gmail.com,0,0,0,,0,-2.168677,-79.916769,tuenti.redfenix.ec,,2016-09-15 17:18:46,fmatamoros,0,0,
51,The Point,The Point,0,Guayaquil,,nn,Puerto Santa Ana,fmatamoros123@gmail.com,978620100,978620100,1,,0,-2.1782794,-79.876037,thepointredfenix.ec,,2016-09-29 18:00:51,fmatamoros,0,0,
